TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunCreates,Encrypted,Deterministic,100,48135,4.0215192
RunCreates,NotEncrypted,Deterministic,100,48135,3.9649804
RunFinds,EncryptedWithEnclaves,Deterministic,100,48135,6.1808019
RunFinds,Encrypted,Deterministic,100,48135,6.5878389
RunFinds,NotEncrypted,Deterministic,100,48135,6.2260854
RunUpdates,EncryptedWithEnclaves,Deterministic,100,48135,6.4076175
RunUpdates,Encrypted,Deterministic,100,48135,6.3241467
RunUpdates,NotEncrypted,Deterministic,100,48135,6.2751908
RunDeletes,EncryptedWithEnclaves,Deterministic,100,48135,19.2658009
RunDeletes,Encrypted,Deterministic,100,48135,18.7728838
RunDeletes,NotEncrypted,Deterministic,100,48135,17.0067371
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,48135,2382.4385321
FindWhereDOB,Encrypted,Deterministic,0,48135,2378.5161682
FindWhereDOB,NotEncrypted,Deterministic,0,48135,0.4868424
RunCreates,EncryptedWithEnclaves,Deterministic,100,54401,3.7044494
RunCreates,Encrypted,Deterministic,100,54401,3.7060538
RunCreates,NotEncrypted,Deterministic,100,54401,3.7003429
RunFinds,EncryptedWithEnclaves,Deterministic,100,54401,6.7099217
RunFinds,Encrypted,Deterministic,100,54401,7.3423509
RunFinds,NotEncrypted,Deterministic,100,54401,7.5148282
RunUpdates,EncryptedWithEnclaves,Deterministic,100,54401,7.2227257
RunUpdates,Encrypted,Deterministic,100,54401,7.1695009
RunUpdates,NotEncrypted,Deterministic,100,54401,7.2808098
RunDeletes,EncryptedWithEnclaves,Deterministic,100,54401,22.0044416
RunDeletes,Encrypted,Deterministic,100,54401,21.2901359
RunDeletes,NotEncrypted,Deterministic,100,54401,19.3834922
RunCreates,EncryptedWithEnclaves,Deterministic,100,57994,3.6681027
RunCreates,Encrypted,Deterministic,100,57994,3.7425804
RunCreates,NotEncrypted,Deterministic,100,57994,3.7667855
RunFinds,EncryptedWithEnclaves,Deterministic,100,57994,7.3412725
RunFinds,Encrypted,Deterministic,100,57994,8.1876565
